fips_code,county,state,customers_out,run_start_time
09001,Fairfield,Connecticut,24,2019-01-02 00:00:00
09003,Hartford,Connecticut,4,2019-01-02 00:00:00
09005,Litchfield,Connecticut,64,2019-01-02 00:00:00
09009,New Haven,Connecticut,3,2019-01-02 00:00:00
09013,Tolland,Connecticut,36,2019-01-02 00:00:00
09015,Windham,Connecticut,32,2019-01-02 00:00:00
09001,Fairfield,Connecticut,23,2019-01-02 00:15:00
09003,Hartford,Connecticut,1,2019-01-02 00:15:00
09005,Litchfield,Connecticut,64,2019-01-02 00:15:00
09009,New Haven,Connecticut,3,2019-01-02 00:15:00
09013,Tolland,Connecticut,36,2019-01-02 00:15:00
09015,Windham,Connecticut,32,2019-01-02 00:15:00
09001,Fairfield,Connecticut,3,2019-01-02 00:30:00
09003,Hartford,Connecticut,1,2019-01-02 00:30:00
09005,Litchfield,Connecticut,64,2019-01-02 00:30:00
09009,New Haven,Connecticut,3,2019-01-02 00:30:00
09013,Tolland,Connecticut,36,2019-01-02 00:30:00
09015,Windham,Connecticut,32,2019-01-02 00:30:00
09001,Fairfield,Connecticut,3,2019-01-02 00:45:00
09003,Hartford,Connecticut,1,2019-01-02 00:45:00
09005,Litchfield,Connecticut,64,2019-01-02 00:45:00
09009,New Haven,Connecticut,2,2019-01-02 00:45:00
09013,Tolland,Connecticut,36,2019-01-02 00:45:00
09015,Windham,Connecticut,32,2019-01-02 00:45:00
09001,Fairfield,Connecticut,368,2019-01-02 01:00:00
09005,Litchfield,Connecticut,61,2019-01-02 01:00:00
09009,New Haven,Connecticut,1,2019-01-02 01:00:00
09013,Tolland,Connecticut,35,2019-01-02 01:00:00
09015,Windham,Connecticut,32,2019-01-02 01:00:00
09001,Fairfield,Connecticut,368,2019-01-02 01:15:00
09005,Litchfield,Connecticut,61,2019-01-02 01:15:00
09009,New Haven,Connecticut,1,2019-01-02 01:15:00
09013,Tolland,Connecticut,35,2019-01-02 01:15:00
09015,Windham,Connecticut,32,2019-01-02 01:15:00
09001,Fairfield,Connecticut,368,2019-01-02 01:30:00
09005,Litchfield,Connecticut,61,2019-01-02 01:30:00
09009,New Haven,Connecticut,1,2019-01-02 01:30:00
09013,Tolland,Connecticut,35,2019-01-02 01:30:00
